"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
7,1.25276296849537,1.28093384546206,3.5,3.6,"14","1","SS14-418461",2009,4
8,1.28093384546206,1.30833281965018,3.6,3.7,"14","1","SS14-418461",2010,4.29
9,1.30833281965018,1.50407739677627,3.7,4.5,"14","1","SS14-418461",2011,4.5
10,1.50407739677627,1.55814461804655,4.5,4.75,"14","1","SS14-418461",2012,7.4
11,1.55814461804655,1.57069708411767,4.75,4.81,"14","1","SS14-418461",2013,7.7
12,1.57069708411767,NA,4.81,NA,"14","1","SS14-418461",2014,NA
12,NA,NA,NA,NA,"14","1","SS14-418461",2015,NA
14,NA,NA,NA,NA,"14","1","SS14-418461",2016,NA
1,NA,0.148420005118273,NA,1.16,"14","1","SS14-418485",2003,1.66
2,0.148420005118273,0.559615787935423,1.16,1.75,"14","1","SS14-418485",2004,2.15
3,0.559615787935423,0.779324876800998,1.75,2.18,"14","1","SS14-418485",2005,2.64
4,0.779324876800998,0.78845736036427,2.18,2.2,"14","1","SS14-418485",2006,2.471
5,0.78845736036427,1.06471073699243,2.2,2.9,"14","1","SS14-418485",2007,2.706
6,1.06471073699243,1.16315080980568,2.9,3.2,"14","1","SS14-418485",2008,3.7
7,1.16315080980568,0.741937344729377,3.2,2.1,"14","1","SS14-418485",2009,3.2
8,0.741937344729377,1.11514159061932,2.1,3.05,"14","1","SS14-418485",2010,3.74
9,1.11514159061932,1.16315080980568,3.05,3.2,"14","1","SS14-418485",2011,2.9
10,1.16315080980568,1.23837423104327,3.2,3.45,"14","1","SS14-418485",2012,2.9
11,1.23837423104327,1.23837423104327,3.45,3.45,"14","1","SS14-418485",2013,3.5
12,1.23837423104327,NA,3.45,NA,"14","1","SS14-418485",2014,NA
12,NA,NA,NA,NA,"14","1","SS14-418485",2015,NA
14,NA,NA,NA,NA,"14","1","SS14-418485",2016,NA
1,NA,0.215111379616945,NA,1.24,"14","1","SS14-418546",2003,1.23
2,0.215111379616945,0.482426149244293,1.24,1.62,"14","1","SS14-418546",2004,2.01
3,0.482426149244293,0.741937344729377,1.62,2.1,"14","1","SS14-418546",2005,2.12
4,0.741937344729377,0.76080582903376,2.1,2.14,"14","1","SS14-418546",2006,2.043
5,0.76080582903376,0.883767540168595,2.14,2.42,"14","1","SS14-418546",2007,2.556
6,0.883767540168595,0.883767540168595,2.42,2.42,"14","1","SS14-418546",2008,2.556
7,0.883767540168595,1.1314021114911,2.42,3.1,"14","1","SS14-418546",2009,2.3
8,1.1314021114911,1.16315080980568,3.1,3.2,"14","1","SS14-418546",2010,3.57
9,1.16315080980568,NA,3.2,NA,"14","1","SS14-418546",2011,0
10,NA,1.26694760348732,NA,3.55,"14","1","SS14-418546",2012,3.9
11,1.26694760348732,1.31908561142644,3.55,3.74,"14","1","SS14-418546",2013,4.1
12,1.31908561142644,NA,3.74,NA,"14","1","SS14-418546",2014,NA
12,NA,NA,NA,NA,"14","1","SS14-418546",2015,NA
