UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS07-453790,2010,7,11,18,1,1,32,<1,23,Mimosa eurycarpa,0.55,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453707,2003,7,11,11,1,2,32,<1,22,Mimosa eurycarpa,3.11,13.24,1,1.62,1.55,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.55,0.058966221486324,589.662214863241,1.88691908756237,32,,S,T,"c/ convol, doblada, con ramas altas muertas"
SS07-453707,2008,7,11,16,1,2,32,<1,22,Mimosa eurycarpa,3.11,13.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453707,2009,7,11,17,1,2,32,<1,22,Mimosa eurycarpa,3.11,13.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453707,2010,7,11,18,1,2,32,<1,22,Mimosa eurycarpa,3.11,13.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-454360,2003,7,11,11,1,2,32,<1,36,Mimosa eurycarpa,4.76,14.55,1,3.1,1.31,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.31,0.042119430881449,421.194308814488,1.34782178820636,32,,S,T,"casi muerta, solo con rebrotes en base"
SS07-454360,2008,7,11,16,1,2,32,<1,36,Mimosa eurycarpa,4.76,14.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-454360,2009,7,11,17,1,2,32,<1,36,Mimosa eurycarpa,4.76,14.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-454360,2010,7,11,18,1,2,32,<1,36,Mimosa eurycarpa,4.76,14.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453998,2008,7,11,16,2,3,32,<1,257,Mimosa eurycarpa,0.2,8.8,1,0.34,0.178,0.134,0.161,0.133,,,,,,,,,,,,,,,,,,,,,0.133,0.178,0.002288699335525,22.8869933552538,0.073238378736812,32,,,,
SS07-453998,2009,7,11,17,2,3,32,<1,257,Mimosa eurycarpa,0.2,8.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453998,2010,7,11,18,2,3,32,<1,257,Mimosa eurycarpa,0.2,8.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
